<Reasoning>The construction site is likely near the water turbine (0, 0) or the yellow vehicle, which is more central in the grid. Moving to this area will help confirm the location.</Reasoning>
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, 0)</Action> 
<Action>(0, 0, 10)</Action> 
<Action>(0, 0, 0)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, 10)</Action> 
<Action>(0, 0, 0)</Action> 
<Action>(0, 0, -15)</Action> 
<Action>(0, 0, 0)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -5)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(
