<Reasoning>The trash pile is likely around the center of the image, given the density and positioning of the coordinates. I will move to (0, 0) to check closely.</Reasoning>
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, 0)</Action> 
<Action>(0, 0, 0)</Action> 
<Action>FOUND</Action>
