<Reasoning>Based on the coordinates and the visible structure, point (12, 0) seems to be the building. I will move towards this point to get a closer view and ensure I am centered on it.</Reasoning>
<Action>(0, 0, 0)</Action> 
<Action>(0, 0, -40)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>(0, 0, 0)</Action> 
<Action>\FOUND\</Action>
