<Reasoning>The object is now centered in the image, and I'm very close to it, maintaining a safe altitude around 10 meters. This should be the campsite.</Reasoning>
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -1)</Action> 
<Action>(0, 0, -
