<Reasoning>I am now centered over the point (11, 23), which seems to be a potential building location. I will proceed by lowering the altitude to get closer to this point.</Reasoning>
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(11, 23, -10)</Action> 
<Action>(0, 0, -10)</Action> 
<Action>FOUND</Action>
