 <Reasoning>I will start by flying to a spot that is close to the object. I'll fly to (0, 0, -20) to get closer.</Reasoning>
<Action>(0, 0, -20)</Action>

<Reasoning>The object is still not in my field of view yet. I'll try moving to the right to get a better view. I'll fly to (0, 1, -10).</Reasoning>
<Action>(0, 1, -10)</Action>

<Reasoning>The object might be on the top floor. I'll fly to the right to check the top floor. I'll fly to (0, 2, -10).</Reasoning>
<Action>(0, 2, -10)</Action>

<Reasoning>The object is visible now. I'll fly to get as close to it as possible. I'll fly to (-1, 0, -10).</Reasoning>
<Action>(-1, 0, -10)</Action>

<Reasoning>Now I can see the object clearly. I'll fly below it to get the best view. I'll fly to (-1, -1, -10).</Re
