 <Reasoning>The object might be in the lower right region of the map, around (-6, 13).</Reasoning>
<Action>(10, 0, -10)</Action>

<Reasoning>The object might be in the lower left region of the map, around (13, -13).</Reasoning>
<Action>(10, 0, -10)</Action>

<Reasoning>The object might be in the upper left region of the map, around (13, 6).</Reasoning>
<Action>(10, 0, -10)</Action>

<Reasoning>The object might be in the upper right region of the map, around (6, 13).</Reasoning>
<Action>(10, 0, -10)</Action>

<Reasoning>The object might be in the lower right region of the map, around (13, -13).</Reasoning>
<Action>(10, 0, -10)</Action>

<Reasoning>The object might be in the lower right region of the map, around (13, -6).</Reasoning>
<Action>(10, 0, -10)</Action>
