X,Y,Z,P,Q,R
-90339.227,-59310.102,60.623,0.000000,-152.218146,0.000000
-26985.996,-156100.781,60.474,0.000000,-178.607054,0.000000
54712.531,-331298.781,60.028,0.000000,-153.108239,0.000000
144579.828,38708.531,61.152,0.000000,-154.365282,0.000000
127379.039,-230547.359,60.667,0.000000,178.256377,-0.000000
122936.500,-145460.406,57.877,0.000000,0.836684,0.000000
19608.004,-108436.391,60.446,0.000000,-1.915155,0.000000
-91864.438,-10417.469,59.589,0.000000,-61.800689,0.000000
-14520.757,-264832.250,60.892,0.000000,117.228153,0.000000
-290.182,36403.188,60.024,0.000000,116.428285,0.000000
30751.715,-353639.125,61.268,0.000000,118.777597,0.000000
81953.133,43824.387,60.636,0.000000,-61.713657,0.000000
55160.848,-338852.250,60.577,0.000000,116.653254,0.000000
117846.070,-269681.562,60.625,0.000000,-62.106582,0.000000
127829.453,-251105.500,60.614,0.000000,116.493177,0.000000
134932.625,23944.938,60.687,0.000000,26.000387,0.000000
-22504.912,-393321.219,61.148,0.000000,1.655587,0.000000
16661.023,-321968.094,60.830,0.000000,-62.659839,0.000000
36048.738,27333.939,61.115,0.000000,-151.706214,0.000000
179293.516,-41795.699,60.675,0.000000,107.484773,0.000000
-31166.223,97036.594,60.586,0.000000,116.007155,0.000000
47514.348,67092.547,60.157,0.000000,27.145107,0.000000
-20944.600,-115310.180,58.395,0.000000,113.926606,0.000000
76860.648,-196747.609,59.632,0.000000,91.631040,0.000000
58502.355,-307779.969,61.141,0.000000,118.183955,0.000000
-51429.230,73966.203,60.106,0.000000,-63.968617,0.000000
34445.930,-219697.391,60.077,0.000000,-62.778994,0.000000
-124512.305,-262264.906,60.087,0.000000,135.675210,-0.000000
-133001.141,-194866.672,61.244,0.000000,-90.692594,0.000000
-57810.633,-357433.438,60.235,0.000000,1.728651,0.000000
21575.291,-102284.898,60.658,0.000000,88.074080,0.000000
82069.695,-230561.406,61.412,0.000000,-179.091245,0.000000
13846.997,-255560.812,59.308,0.000000,-63.129703,0.000000
-110061.586,-67321.344,60.836,0.000000,28.988039,0.000000
-96358.383,-388243.500,60.404,0.000000,134.031465,-0.000000
-70550.031,-356890.344,61.269,0.000000,62.788285,0.000000
-66304.117,-238838.031,60.196,0.000000,-178.796278,0.000000
-120559.977,-18324.887,59.743,0.000000,27.523379,0.000000
-153462.531,-145444.797,60.254,0.000000,0.272253,0.000000
135385.594,-49589.801,61.361,0.000000,1.390840,0.000000
-32156.168,-369645.812,61.268,0.000000,-88.656157,0.000000
66460.195,-321129.188,60.874,0.000000,-62.488527,0.000000
-3769.589,61614.660,61.315,0.000000,-154.454659,0.000000
26803.889,-364384.750,60.476,0.000000,-62.109915,0.000000
147193.328,-76451.648,60.926,0.000000,-88.962294,0.000000
-81923.148,-89579.430,60.316,0.000000,115.155334,0.000000
131393.062,-280256.969,59.497,0.000000,115.159642,0.000000
177412.656,-174911.234,60.436,0.000000,179.063741,-0.000000
-193195.766,-156093.062,61.066,0.000000,178.295928,-0.000000
-164391.750,-316209.562,59.796,0.000000,-46.980258,0.000000
-199174.953,-183155.688,59.530,0.000000,87.923233,0.000000
43695.188,-156116.766,63.713,0.000000,178.139869,-0.000000
-92244.391,-11972.290,61.483,0.000000,116.121004,0.000000
-14201.877,31646.094,57.942,0.000000,117.011698,0.000000
-166663.875,-90796.102,59.936,0.000000,-152.849397,0.000000
-64565.309,-227723.969,60.203,0.000000,-1.971117,0.000000
-39050.844,14289.247,61.151,0.000000,115.915445,0.000000
-69538.891,-62548.039,60.223,0.000000,26.202749,0.000000
8224.845,-72875.875,60.172,0.000000,90.984012,0.000000
-58085.750,-79009.250,60.531,0.000000,116.405230,0.000000
36050.871,-45024.590,60.937,0.000000,85.378735,0.000000
9474.952,-14863.851,60.876,0.000000,116.415423,0.000000
-4158.253,-158089.688,60.145,0.000000,-90.670603,0.000000
67923.258,-289504.969,60.627,0.000000,118.269926,0.000000
-21364.043,-165302.812,60.348,0.000000,-179.051616,0.000000
18932.375,79240.078,59.997,0.000000,116.134754,0.000000
-57130.531,-127476.156,60.193,0.000000,-0.666052,0.000000
8196.815,-57428.156,59.808,0.000000,91.294484,0.000000
-17921.562,-238853.641,59.823,0.000000,179.973422,-0.000000
-217198.922,-218046.453,61.104,0.000000,91.591476,0.000000
-119925.547,-117849.039,59.982,0.000000,0.026187,0.000000
-185919.344,-124469.945,61.303,0.000000,-88.741557,0.000000
151994.562,-145439.734,60.588,0.000000,-1.923534,0.000000
-155392.797,-98650.047,61.183,0.000000,-0.614749,0.000000
-1543.314,-290282.938,60.575,0.000000,115.231288,0.000000
-77598.133,-52823.426,60.123,0.000000,-152.104913,0.000000
-130635.938,6012.101,58.625,0.000000,46.824494,0.000000
-117883.008,-308809.000,61.131,0.000000,-43.225314,0.000000
55681.629,-80036.562,58.721,0.000000,179.241043,-0.000000
-189811.875,-62195.008,61.425,0.000000,56.870317,0.000000
78028.641,-242501.031,62.272,0.000000,-153.598076,0.000000
83996.500,-320988.906,59.979,0.000000,118.497847,0.000000
